Chemical.ID	Chemical.Name	pathway	parent	conc0	conc1	conc2	conc3	conc4	conc5	resp0	resp1	resp2	resp3	resp4	resp5	uniqueID	readout
N1	1	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.942324338	5.014769251	1.274663823	1.026522925	-23.52126384	-4.154409892	N1	luc.a
N10	2	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.516719309	7.08951173	0.51659377	2.090680788	-7.042802074	-8.349404035	N10	luc.a
N11	3	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.516072301	1.969101028	-0.551584342	-0.70259805	-10.48571316	-93.85600593	N11	luc.a
N12	4	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.940511113	5.002970716	-5.362726559	-13.50646352	-18.85550178	-15.55461691	N12	luc.a
N13	5	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	1.145770638	5.88424559	-0.327856552	-5.640190563	-5.451181191	1.711584376	N13	luc.a
N14	6	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.849785542	0.410873959	1.439627864	0.126171032	-40.46702173	-67.2978125	N14	luc.a
N15	7	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.332362053	2.276286395	0.783387673	-2.842284817	-8.665852137	-47.95630777	N15	luc.a
N16	8	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.460424907	0.977648269	-0.823953999	-2.644267612	-6.480021609	-10.29911317	N16	luc.a
N17	9	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.719819067	4.304967478	-10.52441268	-2.759599492	-32.49057947	-56.05934248	N17	luc.a
N18	10	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.400402654	7.369410668	-0.591989183	0.215827703	-14.76324941	-96.24261359	N18	luc.a
N19	11	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.212616528	1.622846578	-2.500137376	-5.301754962	-19.2732356	-63.27887445	N19	luc.a
N2	12	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-13.29567518	-6.931853541	-6.933611375	-12.15121582	-19.72073724	-37.78671524	N2	luc.a
N20	13	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.091572619	4.936488168	0.118565523	3.766798878	-2.796038871	-9.135603766	N20	luc.a
N21	14	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.486031754	3.043635801	-0.523240493	-9.006736074	-10.34193418	-5.760409434	N21	luc.a
N22	15	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.05262912	3.727855555	2.326848459	2.261463268	-0.004928279	4.13903855	N22	luc.a
N23	16	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-4.813924127	1.915274513	0.793200794	-8.139655575	-6.52502242	2.941965035	N23	luc.a
N24	17	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.975971239	2.362719001	-35.7675282	-0.656489053	-5.189574938	-11.24868289	N24	luc.a
N25	18	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.252944197	2.086033032	1.134908238	-3.554312258	-2.204634888	-6.409197274	N25	luc.a
N26	19	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.080016122	-0.970412139	-0.40313182	-3.155132997	-7.444665141	-5.817274666	N26	luc.a
N27	20	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.866975268	1.357001077	3.336514739	-3.24120588	-5.165796368	-3.272117427	N27	luc.a
N28	21	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.647723411	2.726991492	1.012034942	-3.360544992	-7.455956024	-5.848099579	N28	luc.a
N29	22	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.177183896	2.637086549	2.914555705	2.737446104	-6.151420682	-43.93660655	N29	luc.a
N3	23	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-1.96525324	2.044947241	-4.220756259	2.830154675	-7.061735694	-2.59272566	N3	luc.a
N30	24	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.430422314	7.886794162	4.355399874	-16.57939661	-42.46695949	-93.60821433	N30	luc.a
N31_1	25	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	0.518081078	6.360649156	2.162666006	-1.303925684	-13.40275569	-71.13580065	N31_1	luc.a
N31_2	26	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.085539617	5.381645995	2.2536402	-4.310031963	-17.44772388	-91.24014295	N31_2	luc.a
N32	27	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	2.631469975	7.073960317	2.562766429	-0.724679143	-99.35289063	-100	N32	luc.a
N33_1	28	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-16.39305584	3.039750594	-0.295838597	-5.069738245	-13.42506975	-32.24177442	N33_1	luc.a
N33_2	29	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-3.791197658	-0.456680951	-3.124285974	-11.41570786	-23.20630016	-95.21826437	N33_2	luc.a
N34	30	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-0.135524982	4.407480815	3.372366995	0.76448811	-7.611944485	-1.898753986	N34	luc.a
N35	31	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-2.776395353	-0.548618481	3.136299167	-4.458232447	-15.60582699	-37.80085318	N35	luc.a
N36	32	TOG		-6.522878745	-6	-5.522878745	-5	-4.522878745	-4	-30.29910366	-20.83556693	-32.89222821	-34.25031232	-22.96550934	-21.23388611	N36	luc.a
